Indicator,Waarde,Land
BBP (totaal),"€17,794,783,039,552.00",China
Bevolking,"1,410,710,000",China
BBP per Hoofd van de Bevolking,"€12,614.06",China
Inflatie (CPI),132.52%,China
Werkloosheid,4.57%,China
Levensverwachting,77.95 jaar,China
Stedelijke Bevolking (%),64.57%,China
Handelsbalans (% van BBP),37.32%,China
High-tech Export (% van Totale Export),N/A,China
Netto Migratie,-318992.0,China
Werkgelegenheid in Landbouw (% van Totale Werkgelegenheid),22.33%,China
Werkgelegenheid in Industrie (% van Totale Werkgelegenheid),31.84%,China
Werkgelegenheid in Diensten (% van Totale Werkgelegenheid),45.83%,China
Buitenlandse Directe Investeringen (% van BBP),0.24%,China
"Totale Reserves (inclusief Goud, Huidige US$)",3264803869739.12,China
